,Bechmark_Data,Algorithm_Ref,alpha,alpha_pvalue,beta,beta_pvalue,delta,delta_pvalue,gamma,gamma_pvalue,acinar,acinar_pvalue,ductal,ductal_pvalue
1,Missiaglia,Ensemble,-0.116643780798553,0.318956195707273,-0.479778204712678,1.32799258384414e-05,-0.00732464004335658,0.950269266670902,-0.091920938069159,0.432834337213646,-0.087955176335719,0.453028008608005,0.507259272958067,3.40890734540517e-06
2,Missiaglia,Baron,0.0669011916761552,0.568481304524934,0.0442421396501846,0.706249799591828,0.234869928698792,0.0425257239404118,0.148998699853621,0.202015997896822,0.236349704349374,0.0412020128162516,-0.0893430092401119,0.445902577706168
3,Missiaglia,Segerstolpe,0.171109883949369,0.142154473983026,-0.358486987191529,0.00158791417080199,0.142709147821168,0.221933726708563,0.137082507721485,0.240885714598716,-0.0689051693606331,0.556926788832121,0.395257837999466,0.000448767438870755
4,Missiaglia,Lawlor,-0.110664508610103,0.344560281242265,-0.0503568565204064,0.66788626091952,-0.0310167238245559,0.791653047649556,0.0172926410988916,0.882931297709134,-0.0591355228697592,0.614283602299975,0.110528857665678,0.345155660491129
5,RepSet,Ensemble,0.0928805289532936,0.491966294043216,-0.602545254699255,7.07934165282106e-07,0.0792846322483567,0.557708533929096,-0.504043463487982,6.40579907990469e-05,0.384548375710201,0.0031425642322266,0.686641570872114,3.70808035955577e-09
6,RepSet,Baron,-0.0612943512476086,0.650594695325009,0.28906237545832,0.0291973365746134,0.197256197865908,0.141358270883429,-0.400366321338946,0.0020291735406846,0.194504290800425,0.147106211224922,0.467902253020228,0.000242444943491041
7,RepSet,Segerstolpe,-0.121390365058018,0.368383405221328,-0.473742721651412,0.000197472456981777,-0.324360882992828,0.0138330324645102,-0.531638728817001,2.08612505840461e-05,0.142391757985014,0.290688365485252,0.476379327006784,0.000179785206036682
8,RepSet,Lawlor,-0.198067711856662,0.139695728890363,-0.408329133072142,0.00161493248530801,-0.140262255590961,0.298037395922056,-0.392723932635564,0.00251333062574238,0.404728925999689,0.00179179556082965,0.645308326961485,5.99254073361736e-08
9,Riemer,Ensemble,-0.249894850132691,0.119911225578439,0.190292842632467,0.239539480332952,-0.135754847001086,0.403582641195634,-0.299653656383512,0.0603123310908123,0.234212673614334,0.145768899132778,0.23684357760189,0.141166975444533
10,Riemer,Baron,-0.20227830079305,0.210664332363761,0.287410787465798,0.0721358494900516,-0.104735510633461,0.52011164118761,-0.485153958090289,0.00150889152101291,0.174640505148412,0.281119158763574,0.295486449844957,0.0641499123409678
11,Riemer,Segerstolpe,-0.253048076813249,0.115157142469003,-0.0701122700730445,0.667270175285056,-0.0316091634459269,0.846471174509029,-0.174956270793388,0.280236564208073,0.158221142759662,0.329507082915411,0.251083704394393,0.118101779416601
12,Riemer,Lawlor,-0.172355998878181,0.287558472103716,-0.15195961853035,0.34924597645875,-0.106225094337564,0.51416083913565,-0.28879477387951,0.0707144037029263,0.196683150109378,0.223827689485788,0.249890825409347,0.119917386428962
13,Sadanandam,Ensemble,-0.263384341280379,0.167433979745718,0.126725427928271,0.512424109512701,-0.236627010035238,0.21650814302245,-0.0287094501334724,0.882473264683566,-0.189846363321809,0.323940725146821,-0.484839569360208,0.00768495290819813
14,Sadanandam,Baron,0.218440128170565,0.25495072843028,-0.307197692627169,0.1050146371424,-0.305765896508088,0.106728592754062,-0.121733069713902,0.52930776535015,-0.305765896508088,0.106728592754062,-0.0377389873718979,0.845893966273223
15,Sadanandam,Segerstolpe,-0.31772522198709,0.0930388006085838,-0.118667892932614,0.539804342981727,-0.318078048222009,0.0926561630017452,-0.32012114784242,0.0904638161203874,-0.237549199418956,0.214670083367236,0.075720887418367,0.696245162149504
16,Sadanandam,Lawlor,-0.188081322828514,0.328542939783287,0.336640717673507,0.0741551989144518,-0.166158921254197,0.388993146898397,-0.00585114705133918,0.975968511032461,0.131327611363152,0.497098313985881,-0.0809765288490258,0.676256221024581
17,Scarpa,Ensemble,-0.345667228180421,0.0662577231837954,-0.0737943944483222,0.703623239136727,-0.0897501278808666,0.64336748625511,-0.11884016173495,0.539211819994549,-0.128192141521201,0.507514701412494,0.580555097450181,0.000960759409931079
18,Scarpa,Baron,-0.0355628915560408,0.854683793705173,-0.132635658341128,0.49278483012927,-0.153062243368411,0.427955064571122,-0.225920890468011,0.238630364679263,-0.0366212256224655,0.850406710580264,0.539379619797158,0.00253206861018048
19,Scarpa,Segerstolpe,-0.0656786505636955,0.734987734297265,0.0131957003037859,0.945834963242071,-0.0754230417058453,0.697384100464718,-0.187321962816636,0.330535153598137,-0.0794842816291831,0.681910596014962,0.408974499831621,0.0276035766063556
20,Scarpa,Lawlor,-0.0888575780227432,0.646684639551953,-0.211629421426474,0.270431243057566,-0.00742590381321955,0.969503418726649,-0.142821301142347,0.459854439013598,0.0451147906233234,0.816241376785688,0.444823609954349,0.0156139307065645
