,Ensemble,Baron,Segerstolpe,Lawlor
alpha,2.92332180968928,35.5644602032977,1.39153458559203,0
beta,12.977848215506,49.0921432080227,71.8615560554688,7.56624041678816
delta,36.7341903628248,0,14.3281899283012,1.19553580973462
gamma,11.5741890082758,24.8669790428435,39.4284053636793,1.30510110768161
RMSD,0,26.8116236714741,30.0667529035,6.54036762626826
mAD,15.4581000648915,33.9646684090153,0,42.1310670778539
spearman,100,100,100,100
