,Ensemble,Baron,Segerstolpe,Lawlor
alpha,0,100,0,0
beta,36.3132865771854,10.3157752955628,14.3194459646818,52.5473423704487
delta,15.6434997459434,0.168182885837295,32.3155512095704,16.904386489271
gamma,59.8639606285685,64.4652756295897,100,5.07378560736824
acinar,37.3202875934293,0,43.8346554906635,38.0799985598512
ductal,79.8779834166471,79.7307674234151,18.6944992587361,72.1441225917132
RMSD,90.2233863762913,50.5680534365344,15.7644006457711,42.5403387525425
mAD,50.1670074633674,35.553400523248,4.14026924252123,6.19447639776358
spearman,100,52.7661382964214,28.2493070299618,100
